HotelCode,AverageCost,RoundedAverageCost
10b5a2,208.5528571428572,208.55
11bd0f,2383.54,2383.54
11601d,615.1524999999999,615.15
11201a,203.62999999999997,203.63
10b407,341.23,341.23
127440,360.4266666666667,360.43
1018b1,174.8838775510204,174.88
11747f,209.03666666666666,209.04
1070aa,5645.108999999999,5645.11
170f6f,2659.779098360654,2659.78
18191a,3102.26,3102.26
114648,700.56,700.56
11b4d5,500.8333333333333,500.83
19d321,1810.1439999999998,1810.14
107161,2844.011891891892,2844.01
118b63,458.7775,458.78
1014eb,768.0010447761197,768.0
1014c2,1637.8000000000002,1637.8
18ea62,2704.455581395349,2704.46
1142ba,644.785,644.79
10b77a,223.09666666666666,223.1
102616,527.52,527.52
106015,10585.115589743582,10585.12
10b4f1,845.6500000000001,845.65
121381,678.2944444444444,678.29
1014d2,1309.14,1309.14
1013c5,2244.154,2244.15
102450,686.17,686.17
10a0bf,2287.493082706766,2287.49
10a354,844.3400000000001,844.34
10c93e,703.5752380952383,703.58
109204,2059.0658947368415,2059.07
1091f0,3561.7624528301885,3561.76
10a0ea,4846.31,4846.31
125aec,170.70043478260868,170.7
191944,916.1892307692306,916.19
1091e5,667.4431250000001,667.44
10b96f,327.38166666666666,327.38
10b321,184.13750000000002,184.14
10b398,402.28400000000005,402.28
132644,3953.238888888889,3953.24
1129fd,480.71523809523813,480.72
10cc49,199.22500000000002,199.23
15960d,121.81,121.81
107014,296.74333333333334,296.74
12a3f9,645.5943209876543,645.59
113323,765.8112,765.81
10ee02,1547.5625,1547.56
11397d,248.82461538461536,248.82
10b7a9,312.937,312.94
10c6b6,262.65,262.65
10c114,360.43722222222215,360.44
155d9f,2295.2133333333336,2295.21
193e6e,2059.9260000000004,2059.93
10926b,919.8946428571428,919.89
116379,410.80608695652177,410.81
10ebb3,2033.5,2033.5
1b2f6a,706.4,706.4
19d991,261.10714285714283,261.11
12128c,1183.7191056910576,1183.72
102e22,678.2466666666667,678.25
190b1c,6123.918333333333,6123.92
13705c,195.71437499999996,195.71
10c897,437.5649090909091,437.56
10a4a6,843.7712500000001,843.77
10bbb0,325.1066666666667,325.11
10c8ed,246.4,246.4
10ba45,183.96000000000004,183.96
10984d,991.1573846153847,991.16
13a1ec,863.5100000000001,863.51
1013b6,371.52500000000003,371.53
11866f,227.95,227.95
130e18,42.1025,42.1
118d81,7372.046250000001,7372.05
115da4,223.98000000000002,223.98
1013b2,1403.9203571428568,1403.92
102a94,837.6840909090911,837.68
104351,3284.4,3284.4
137521,2950.7400000000002,2950.74
139693,1376.3470329670329,1376.35
10936b,3406.832516556291,3406.83
110f86,2914.8405263157897,2914.84
102438,5837.3928282828265,5837.39
195fbd,545.86,545.86
168d9a,637.14,637.14
107010,205.72,205.72
1489e6,2385.898333333332,2385.9
190a48,2069.208301886792,2069.21
18fba1,1637.3370000000011,1637.34
10b318,334.17375,334.17
10b9ce,175.78666666666666,175.79
111bec,237.18,237.18
167455,2216.8776923076925,2216.88
110f89,7450.426481481483,7450.43
123cc4,219.84125,219.84
10bf70,170.26,170.26
1070a9,3137.6410810810794,3137.64
189af8,2467.6133333333332,2467.61
10727b,3053.6883333333335,3053.69
1013c6,2189.77,2189.77
114024,602.485975609756,602.49
1091cb,610.0120430107527,610.01
1014e0,922.112142857143,922.11
112aec,172.365,172.37
100e38,1447.388888888889,1447.39
111b20,286.89500000000004,286.9
1091d1,1107.8967088607596,1107.9
109658,743.28,743.28
12746d,480.62,480.62
10b65e,140.185,140.19
1019a4,429.58500000000004,429.59
10bf04,468.3278787878787,468.33
105958,149.80499999999998,149.8
12addf,685.4159999999999,685.42
10f792,2644.942376237624,2644.94
10b89e,223.9275,223.93
166c3f,152.115,152.12
107227,2515.21,2515.21
196035,1362.37875,1362.38
169142,337.4231578947368,337.42
10cb64,264.5657894736843,264.57
195fea,1196.233066666667,1196.23
181fb4,1147.9801020408167,1147.98
13ddb0,1640.985,1640.99
10b61e,231.08166666666668,231.08
10b712,854.1475000000002,854.15
171919,178.20666666666668,178.21
14fec1,3016.7,3016.7
18e652,879.0690721649481,879.07
12229a,606.3725714285715,606.37
171b2b,3940.3264285714286,3940.33
114e37,277.28520000000003,277.29
10bedc,442.42749999999995,442.43
10b86a,176.39999999999998,176.4
1013d8,1317.2405128205132,1317.24
1070a6,1946.79,1946.79
1091db,1111.80875,1111.81
113c5e,534.0025,534.0
1096bb,1749.655,1749.66
195fed,1130.6442857142858,1130.64
10a1f6,3388.514666666667,3388.51
10bc7e,254.8,254.8
1118c3,409.41,409.41
10962b,1717.0255405405399,1717.03
109694,1116.8918750000003,1116.89
112e79,214.52076923076928,214.52
10b486,505.96352112676084,505.96
10b4a0,280.025,280.03
15240d,340.14799999999997,340.15
19cdce,1160.0453846153848,1160.05
1073af,181.34,181.34
11a7bc,1759.2533974358992,1759.25
112370,1670.4784337349406,1670.48
1a05f0,262.1666666666667,262.17
10b711,223.1565,223.16
116c3d,1390.1275789473684,1390.13
1091fd,1015.4379787234041,1015.44
10bf39,283.872,283.87
100cd4,343.6709090909091,343.67
1013d3,1016.5295652173913,1016.53
174984,946.96,946.96
110f78,12210.269104477617,12210.27
10926e,622.0906000000001,622.09
10b613,197.49540000000002,197.5
16884f,1195.7326666666668,1195.73
19df95,459.4870000000001,459.49
10b315,259.86,259.86
1148b9,1150.9365591397843,1150.94
118c04,460.2809374999999,460.28
10b655,291.1077777777778,291.11
10b347,276.5558333333333,276.56
176baf,9178.334,9178.33
10704f,2880.01125,2880.01
10c8fc,238.10000000000002,238.1
10ba48,289.17,289.17
11751c,2783.1320833333334,2783.13
138542,2431.326666666667,2431.33
126d6a,983.9883333333333,983.99
1462d6,2145.73625,2145.74
127a12,226.38,226.38
111e9d,830.9174193548386,830.92
19fef1,1098.98,1098.98
10b4e1,259.57846153846157,259.58
1406b5,242.0630769230769,242.06
19da4f,331.63,331.63
1060ca,4028.0270714285684,4028.03
119e2c,421.485,421.49
112057,832.865,832.87
10b54b,277.8622641509434,277.86
10b31e,265.84000000000003,265.84
12f5c9,305.55428571428564,305.55
193d89,297.18,297.18
1288cf,1071.4312396694218,1071.43
110d81,402.091,402.09
111f35,1086.3083333333334,1086.31
19604a,515.3925,515.39
1106eb,3286.525625,3286.53
1070e9,172.51,172.51
10969e,1210.1093220338983,1210.11
195fe4,2245.2799999999997,2245.28
10c225,193.9,193.9
12af4c,116.16,116.16
110f7b,1109.8669827586205,1109.87
154829,3261.377956521739,3261.38
10b31b,225.54000000000002,225.54
105c16,539.3948000000001,539.39
171627,1690.9082488479253,1690.91
10982d,1254.8589285714288,1254.86
10c180,272.389,272.39
1805b2,705.472,705.47
10ba23,306.6422222222223,306.64
1091cc,2148.5289705882346,2148.53
10b406,388.8142500000001,388.81
100a33,328.0621052631579,328.06
1150cb,339.1766666666667,339.18
195fe7,614.0425,614.04
10b5fe,186.09,186.09
11a186,1021.7450549450548,1021.75
10aab2,3026.4,3026.4
188ea1,881.0342105263159,881.03
113eac,199.345,199.35
155fe9,363.428,363.43
13b764,941.4651063829784,941.47
107250,935.128,935.13
1091e6,1372.874210526316,1372.87
109d2f,4632.352375000001,4632.35
12dbc7,437.7679999999999,437.77
1014ca,540.72,540.72
10b41f,739.5200000000001,739.52
